Compound,ConvertedDate,Negative,Neutral,Positive,RawDate,Text,TimeDiff,Tweets Ago,User
0.0772,2018-10-03 21:24:37+00:00,0.0,0.936,0.064,Wed Oct 03 21:24:37 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,71,@BBC
0.0772,2018-10-03 21:24:34+00:00,0.0,0.936,0.064,Wed Oct 03 21:24:34 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,72,@BBC
-0.5267,2018-10-03 21:24:25+00:00,0.206,0.794,0.0,Wed Oct 03 21:24:25 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,73,@BBC
-0.0258,2018-10-03 21:24:25+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:25 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,74,@BBC
0.0,2018-10-03 21:24:16+00:00,0.0,1.0,0.0,Wed Oct 03 21:24:16 +0000 2018,@carolecadwalla @panamadip @BBCPanorama @BBC Almost as if @BBC and particularly @BBCNews were part of the problem.… https://t.co/vuH3W7uxDC,0,75,@BBC
-0.5267,2018-10-03 21:24:13+00:00,0.206,0.794,0.0,Wed Oct 03 21:24:13 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,76,@BBC
-0.5267,2018-10-03 21:24:08+00:00,0.206,0.794,0.0,Wed Oct 03 21:24:08 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,77,@BBC
0.4404,2018-10-03 21:24:06+00:00,0.0,0.805,0.195,Wed Oct 03 21:24:06 +0000 2018,RT @angelsforeurope: @carolecadwalla @BBCPanorama @BBC #BrexitBraodcastingCorporation. @NE4EU @angelsforeurope get better coverage from for…,0,78,@BBC
0.6369,2018-10-03 21:24:04+00:00,0.0,0.811,0.189,Wed Oct 03 21:24:04 +0000 2018,@carolecadwalla @BBCPanorama @BBC Their coverage on the nightlies was patchy at best. It never seemed to convey the… https://t.co/u29NF0kbGw,0,79,@BBC
-0.0258,2018-10-03 21:24:03+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:03 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,80,@BBC
